filename,title,authors,publicationYear,publishedIn,doi,abstract
ching-et-al-opportunities-and-obstacles-for-deep-learning-in-biology-and-medicine.pdf,Opportunities and obstacles for deep learning in biology and medicine,Travers  Ching; Daniel S Himmelstein; Brett K Beaulieu-Jones; Alexandr A Kalinin; Brian T Do; Gregory P Way; Enrico  Ferrero; Paul-Michael  Agapow; Michael  Zietz; Michael M Hoffman; Wei  Xie; Gail L Rosen; Benjamin J Lengerich; Johnny  Israeli; Jack  Lanchantin; Stephen  Woloszynek; Anne E Carpenter; Avanti  Shrikumar; Jinbo  Xu; Evan M Cofer; Christopher A Lavender; Srinivas C Turaga; Amr M Alexandari; Zhiyong  Lu; David J Harris; Dave  Decaprio; Yanjun  Qi; Anshul  Kundaje; Yifan  Peng; Laura K Wiley; Marwin H S Segler; Simina M Boca; S Joshua Swamidass; Austin  Huang; Anthony  Gitter; Casey S Greene,2025,Journal of The Royal Society Interface,10.1098/rsif.2017.0387,"Deep learning describes a class of machine learning algorithms that are capable of combining raw inputs into layers of intermediate features. These algorithms have recently shown impressive results across a variety of domains. Biology and medicine are data-rich disciplines, but the data are complex and often ill-understood. Hence, deep learning techniques may be particularly well suited to solve problems of these fields. We examine applications of deep learning to a variety of biomedical problems-patient classification, fundamental biological processes and treatment of patients-and discuss whether deep learning will be able to transform these tasks or if the biomedical sphere poses unique challenges. Following from an extensive literature review, we find that deep learning has yet to revolutionize biomedicine or definitively resolve any of the most pressing challenges in the field, but promising advances have been made on the prior state of the art. Even though improvements over previous baselines have been modest in general, the recent progress indicates that deep learning methods will provide valuable means for speeding up or aiding human investigation. Though progress has been made linking a specific neural network's prediction to input features, understanding how users should interpret these models to make testable hypotheses about the system under study remains an open challenge. Furthermore, the limited amount of labelled data for training presents problems in some domains, as do legal and privacy constraints on work with sensitive health records. Nonetheless, we foresee deep learning enabling changes at both bench and bedside with the potential to transform several areas of biology and medicine."
6232-Article Text-18796-1-10-20200909.pdf,Recent Applications of Deep Learning Algorithms in Medical Image Analysis,Arman  Sarraf; Ali Esmaeilnia Jalali; Javad  Ghaffari,2017,International Journal of Computer (IJC),arXiv:arXiv:1804.03683,"Advances in deep learning have enabled researchers in the field of medical imaging to employ such techniques for various applications, including early diagnosis of different diseases. Deep learning techniques such as convolutional neural networks offer the capability of extracting invariant features from images that can improve the performance of most predictive models in medical and diagnostic imaging. This work concentrates on reviewing deep learning architectures along with medical imaging modalities where the crucial applications of such algorithms, including image classification and segmentation, are discussed. Also, brain imaging as a branch of medical imaging which allows scientists to explore the structure and function of the brain is explored, and the applications of deep learning to early diagnose Alzheimer""s Disease, and Autism as the most critical brain disorders are studied. Moreover, the recent research findings revealed that employing deep learning-based semantic segmentation techniques could significantly improve the accuracy of models developed for brain tumor detection. Such advances in early diagnosis of disorders and tumors encourage medical imaging practitioners to implement software applications assisting them to improve their decision-making process."
"hengki26,+ahsan+updated[1].pdf",Revolutionizing Healthcare: How Deep Learning is poised to Change the Landscape of Medical Diagnosis and Treatment,Ahsan  Ahmad; Aftab  Tariq; Hafiz Khawar Hussain; Ahmad  Yousaf Gill,2023,"Journal of Computer Networks, Architecture and High Performance Computing",10.47709/cnahpc.v5i2.2350,"Deep learning has become a significant tool in the healthcare industry with the potential to change the way care is provided and enhance patient outcomes. With a focus on personalised medicine, ethical issues and problems, future directions and opportunities, real-world case studies, and data privacy and security, this review article investigates the existing and potential applications of deep learning in healthcare. Deep learning in personalized medicine holds enormous promise for improving patient care by enabling more precise diagnoses and individualized treatment approaches. However it's important to take into account ethical issues like data privacy and the possibility of bias in algorithms. Deep learning in healthcare will likely be used more in the future to manage population health, prevent disease, and improve access to care for underprivileged groups of people. Case studies give specific examples of how deep learning is already changing the healthcare industry, from discovering rare diseases to forecasting patient outcomes. To fully realize the potential of deep learning in healthcare, however, issues including data quality, interpretability, and legal barriers must be resolved. Remote monitoring and telemedicine are two promising areas where deep learning is lowering healthcare expenses and enhancing access to care. Deep learning algorithms can be used to analyze patient data in real-time, warning medical professionals of possible problems before they worsen and allowing for online discussions with experts. Finally, when applying deep learning to healthcare, the importance of data security and privacy cannot be understated. To preserve patient data and guarantee its responsible usage, the appropriate safeguards and rules must be implemented. Deep learning has the ability to transform the healthcare industry by delivering more individualized, practical, and efficient care. However, in order to fully realize its promise, ethical issues, difficulties, and regulatory barriers must be solved. Deep learning has the potential to significantly contribute to enhancing patient outcomes and lowering healthcare costs with the right safeguards and ongoing innovation"
ns-1938396-198.pdf,Deep Learning in Medical Imaging,Mingyu  Kim; Jihye  Yun; Yongwon  Cho; Keewon  Shin; Ryoungwoo  Jang; Hyun-Jin  Bae; Namkug  Kim,2019,Neurospine,10.14245/ns.1938396.198,"The artificial neural network (ANN), one of the machine learning (ML) algorithms, inspired by the human brain system, was developed by connecting layers with artificial neurons. However, due to the low computing power and insufficient learnable data, ANN has suffered from overfitting and vanishing gradient problems for training deep networks. The advancement of computing power with graphics processing units and the availability of large data acquisition, deep neural network outperforms human or other ML capabilities in computer vision and speech recognition tasks. These potentials are recently applied to healthcare problems, including computer-aided detection/diagnosis, disease prediction, image segmentation, image generation, etc. In this review article, we will explain the history, development, and applications in medical imaging"
document (3).pdf,Machine learning y el control de hipertensión arterial,Laura Alejandra Campos Rodríguez; Daniel  Julián Sánchez Álvarez; Alexandra Abuchar Porras,2017,Medwave Revista Biomédica Revisada por Pares,,"El uso de la tecnología ha promovido la expansión digital y el crecimiento de herramientas que hacen posible la cuantificación, medición y análisis de los datos. También ha permitido que tecnologías como la inteligencia artificial desarrollen algoritmos y modelos para que las computadoras aprendan y mejoren sus procesos por medio de la experiencia. En este contexto, el machine learning se ha convertido en un aliado en el control de enfermedades crónicas como la hipertensión arterial (hta), que causa el 63 % de las muertes de personas de tercera edad, debido a falencias en adherencia a tratamientos y a los estilos de vida de los pacientes. En este artículo se propone que implementar esta tecnología en el seguimiento del tratamiento de la hta podrá suministrar pronósticos de la condición futura del paciente y evidenciar el avance o la necesidad de un nuevo diagnóstico para mejorar su calidad de vida."
PIIS1556086422002714.pdf,Genie Out of the Bottle: Is There a Role for Gene-Gene Interactions in Early Detection of Lung Cancer?,Matthew P Smeltzer; Meredith A Ray; Nicholas R Faris; Raymond U Osarogiagbon,2022,Journal of Thoracic Oncology,10.1016/j.jtho.2022.05.012,"Disclosure: Dr. Smeltzer is a research consultant for the Association of Community Cancer Centers. Dr. Osarogiagbon discloses having stock ownership (Eli Lilly and Pfizer); having consulting or advisory roles with the American Cancer Society, the Association of Community Cancer Centers, AstraZeneca, Eli Lilly, and Genentech/Roche; having patents for a Lung Cancer Specimen Kit; and being the founder of Oncobox Device Inc. The remaining author declare no conflict of interest."
document (1).pdf,Machine learning&apos;s role in personalized medicine &amp; treatment optimization,Deepak Kumar; Priyanka Pramod Pawar; Hari Gonaygunta; Geeta Sandeep Nadella; Karthik Meduri; Shoumya Singh,2024,World Journal of Advanced Research and Reviews,10.30574/wjarr.2024.21.2.0641,"The advent of machine learning in personalized medicine has revolutionized the healthcare industry by providing an enhanced diagnosis and treatment regimen to patients based on their unique characteristics such as genetic predispositions, lifestyle variables, and medical history. Machine learning algorithms can analyze vast amounts of patient data to generate accurate diagnoses, establish tailored treatment plans, and improve patient outcomes. By combining multiple data sources, machine learning algorithms can identify patterns, predict the likelihood of specific illnesses, and recommend personalized treatment options. The technology has enabled healthcare professionals to access diverse datasets, including genetic information, medical history, and lifestyle variables, and derive insights from them that were previously inaccessible. However, the isolation of user data in silos across multiple hospitals and medical institutions presents challenges for researchers working in this sector. The article examines the possible obstacles and ethical implications associated with the widespread implementation of machine learning in personalized medicine and assesses the consequences of these breakthroughs for patient care, healthcare systems, and the future of medical research."
1284.pdf,Artificial Intelligence in Medical Imaging: Applications of Deep Learning for Disease Detection and Diagnosis,Shodh  Sagar; Abhinav  Deshmukh,2024,Universal Research Reports,10.36676/urr.v11.i3.1284,"The integration of artificial intelligence (AI) and deep learning techniques into medical imaging has revolutionized disease detection and diagnosis. This paper provides a comprehensive overview of the applications of deep learning in medical imaging and its impact on healthcare. The paper begins with an introduction to the fundamentals of deep learning, emphasizing convolutional neural networks (CNNs) and their relevance in analyzing medical images. It then explores various applications of deep learning in medical imaging, including automated disease detection and classification, image segmentation for precise anatomical localization, quantitative analysis for predictive modeling, personalized medicine, and workflow optimization. Case studies and examples from different medical specialties, such as oncology, cardiology, and neurology, are presented to illustrate the practical implementation and effectiveness of AI-driven approaches."
1909.00384v1.pdf,"DeepHealth: Deep Learning for Health Informatics reviews, challenges, and opportunities on medical imaging, electronic health records, genomics, sensing, and online communication health",Gloria Hyun-Jung  Kwak,2018,Human Molecular Genetics,10.1093/hmg/ddy088,"Machine learning and deep learning have provided us with an exploration of a whole new research era. As more data and be er computational power become available, they have been implemented in various elds. e demand for arti cial intelligence in the eld of health informatics is also increasing and we can expect to see the potential bene ts of arti cial intelligence applications in healthcare. Deep learning can help clinicians diagnose disease, identify cancer sites, identify drug e ects for each patient, understand the relationship between genotypes and phenotypes, explore new phenotypes, and predict infectious disease outbreaks with high accuracy. In contrast to traditional models, its approach does not require domain-speci c data pre-process, and it is expected that it will ultimately change human life a lot in the future. Despite its notable advantages, there are some challenges on data (high dimensionality, heterogeneity, time dependency, sparsity, irregularity, lack of label) and model (reliability, interpretability, feasibility, security, scalability) for practical use."
1902.11122v5.pdf,Deep Learning in Cardiology,Paschalis  Bizopoulos; Dimitrios  Koutsouris,2024,Circulation,10.1109/RBME.2018.2885714/$33.00,"The medical field is creating large amount of data that physicians are unable to decipher and use efficiently. Moreover, rule-based expert systems are inefficient in solving complicated medical tasks or for creating insights using big data. Deep learning has emerged as a more accurate and effective technology in a wide range of medical problems such as diagnosis, prediction and intervention. Deep learning is a representation learning method that consists of layers that transform the data non-linearly, thus, revealing hierarchical relationships and structures. In this review we survey deep learning application papers that use structured data, signal and imaging modalities from cardiology. We discuss the advantages and limitations of applying deep learning in cardiology that also apply in medicine in general, while proposing certain directions as the most viable for clinical use."
document (6).pdf,Using Machine Learning to Individualize Treatment Effect Estimation: Challenges and Opportunities,Alicia  Curth; Richard W Peck; Eoin  Mckinney; James  Weatherall; Mihaela  Van Der Schaar,2024,Clinical Pharmacology &amp; Therapeutics,10.1002/cpt.3159,"The use of data from randomized clinical trials to justify treatment decisions for real-world patients is the current state of the art. It relies on the assumption that average treatment effects from the trial can be extrapolated to patients with personal and/or disease characteristics different from those treated in the trial. Yet, because of heterogeneity of treatment effects between patients and between the trial population and real-world patients, this assumption may not be correct for many patients. Using machine learning to estimate the expected conditional average treatment effect (CATE) in individual patients from observational data offers the potential for more accurate estimation of the expected treatment effects in each patient based on their observed characteristics. In this review, we discuss some of the challenges and opportunities for machine learning to estimate CATE, including ensuring identification assumptions are met, managing covariate shift, and learning without access to the true label of interest. We also discuss the potential applications as well as future work and collaborations needed to further improve identification and utilization of CATE estimates to increase patient benefit."
IJISRT24MAY1593.pdf,The Transformative Impact of Deep Learning on Personalized Medicine,Prathamesh  Gujjeti; Anjali  Pal,2024,International Journal of Innovative Science and Research Technology (IJISRT),10.38124/ijisrt/ijisrt24may1593,"Artificial Intelligence (AI) and Deep Learning (DL) are revolutionizing the landscape of medical research, offering unprecedented advancements in diagnostics, personalized treatments, and medical data management. This paper delves into the diverse applications of AI and DL within the medical field, highlighting their transformative roles in imaging, genomics, drug discovery, and clinical decision-making. Moreover, it addresses the challenges and ethical considerations inherent in these technologies, and proposes future pathways for their seamless integration into healthcare systems. Through this exploration, we aim to provide a comprehensive overview of how AI and DL are shaping the future of medicine and improving patient outcomes."
kjr-18-570.pdf,Deep Learning in Medical Imaging: General Overview,June-Goo  Lee; Sanghoon  Jun; Young-Won  Cho; Hyunna  Lee; Guk Bae Kim; Joon Beom Seo; Namkug  Kim,2017,Korean Journal of Radiology,10.3348/kjr.2017.18.4.570,"The artificial neural network (ANN)-a machine learning technique inspired by the human neuronal synapse system-was introduced in the 1950s. However, the ANN was previously limited in its ability to solve actual problems, due to the vanishing gradient and overfitting problems with training of deep architecture, lack of computing power, and primarily the absence of sufficient data to train the computer system. Interest in this concept has lately resurfaced, due to the availability of big data, enhanced computing power with the current graphics processing units, and novel algorithms to train the deep neural network. Recent studies on this technology suggest its potentially to perform better than humans in some visual and auditory recognition tasks, which may portend its applications in medicine and healthcare, especially in medical imaging, in the foreseeable future. This review article offers perspectives on the history, development, and applications of deep learning technology, particularly regarding its applications in medical imaging."
Clin Pharma and Therapeutics - 2021 - Gelder - Machine Learning as a Novel Method to Support Therapeutic Drug Management.pdf,Machine Learning as a Novel Method to Support Therapeutic Drug Management and Precision Dosing,Teun  Van Gelder; Alexander A Vinks,2021,Clinical Pharmacology &amp; Therapeutics,10.1002/cpt.2326,"Teun van Gelder 1, * and Alexander A. Vinks 2 Machine learning is now being introduced in medicine, with the idea that the vast multidimensional clinical data and experiences documented in electronic health records can assist in the care of future patients. 1 The ability of a machine learning model to find statistical patterns across millions of features and examples is what enables superhuman performance. 2 By mining the complex and heterogeneous data from electronic health records (referred to as ""big data""), patients can benefit from previous collective experience leading to improvements in diagnostic procedures, outcome predictions, and individualized treatments. Also in laboratory medicine, artificial intelligence and machine learning are finding their application. 3 To date, population pharmacokinetic (popPK) models have been used to describe drug exposure over time in patients. With popPK models it is also possible to identify sources of between-patient variability in drug exposure such as body weight and renal function. During the modeling process, models with different numbers of compartments, types of elimination, and variability are evaluated. 4 When a model has been designed that adequately describes the data, it can prospectively be used to guide drug dosing in an individual patient with the aim to achieve prespecified target concentrations with maximum precision and accuracy. 5 At present this is largely done with stand-alone software packages for PK-guided dosing that are commercially or freely available, but it is expected that such tools will become more integrated into the electronic health records. 6 In 2005 an online system for Immunosuppressant Bayesian Dose Adjustment (ISBA) was launched by the Department of Pharmacology and Toxicology at the Centre Hospitalier Universitaire at Limoges, France. 7 This service was made available at no cost to transplantation centers worldwide. 8 The investigators developed and validated popPK models, maximum a posteriori Bayesian estimators, and sparse sampling strategies for abbreviated area under the curve (AUC) estimation to generate individual PK parameters for immunosuppressive drugs for a variety of solid organ transplantation scenarios. 9 This now widely used service provides recommendations for dose adjustment for individual transplanted patients, based on drug concentrations (preferably several samples within the first few hours post dose) uploaded via a secure portal and reported back to the requesting center. In the background, 145 Bayesian estimators are operational for the different posttransplantation times, ages (adult/pediatric), types of transplantation, associated immunosuppressive drugs, and drug measurement methods (Pierre Marquet, personal communication)."
CG-22-244.pdf,Big Data to Knowledge: Application of Machine Learning to Predictive Modeling of Therapeutic Response in Cancer,Sukanya  Panja; Sarra  Rahem; Cassandra J Chu; Antonina  Mitrofanova,2021,Current Genomics,10.2174/1389202921999201224110101,"Background: In recent years, the availability of high throughput technologies, establishment of large molecular patient data repositories, and advancement in computing power and storage have allowed elucidation of complex mechanisms implicated in therapeutic response in cancer patients. The breadth and depth of such data, alongside experimental noise and missing values, requires a sophisticated human-machine interaction that would allow effective learning from complex data and accurate forecasting of future outcomes, ideally embedded in the core of machine learning design."
main.pdf,Deep Learning and Its Applications in Biomedicine,Chensi  Cao; Feng  Liu; Hai  Tan; Deshou  Song; Wenjie  Shu; Weizhong  Li; Yiming  Zhou; Xiaochen  Bo; Zhi  Xie,2018,"Genomics, Proteomics &amp; Bioinformatics",10.1016/j.gpb.2017.07.003,"Advances in biological and medical technologies have been providing us explosive volumes of biological and physiological data, such as medical images, electroencephalography, genomic and protein sequences. Learning from these data facilitates the understanding of human health and disease. Developed from artificial neural networks, deep learning-based algorithms show great promise in extracting features and learning patterns from complex data. The aim of this paper is to provide an overview of deep learning techniques and some of the state-of-the-art applications in the biomedical field. We first introduce the development of artificial neural network and deep learning. We then describe two main components of deep learning, i.e., deep learning architectures and model optimization. Subsequently, some examples are demonstrated for deep learning # Equal contribution."
document (4).pdf,Machine Learning Applied to Diagnosis of Human Diseases: A Systematic Review,Nuria  Caballé-Cervigón; José L Castillo-Sequera; Juan A Gómez-Pulido; José M Gómez-Pulido; María L Polo-Luque,2020,Applied Sciences,10.3390/app10155135,"Human healthcare is one of the most important topics for society. It tries to find the correct effective and robust disease detection as soon as possible to patients receipt the appropriate cares. Because this detection is often a difficult task, it becomes necessary medicine field searches support from other fields such as statistics and computer science. These disciplines are facing the challenge of exploring new techniques, going beyond the traditional ones. The large number of techniques that are emerging makes it necessary to provide a comprehensive overview that avoids very particular aspects. To this end, we propose a systematic review dealing with the Machine Learning applied to the diagnosis of human diseases. This review focuses on modern techniques related to the development of Machine Learning applied to diagnosis of human diseases in the medical field, in order to discover interesting patterns, making non-trivial predictions and useful in decision-making. In this way, this work can help researchers to discover and, if necessary, determine the applicability of the machine learning techniques in their particular specialties. We provide some examples of the algorithms used in medicine, analysing some trends that are focused on the goal searched, the algorithm used, and the area of applications. We detail the advantages and disadvantages of each technique to help choose the most appropriate in each real-life situation, as several authors have reported. The authors searched Scopus, Journal Citation Reports (JCR), Google Scholar, and MedLine databases from the last decades (from 1980s approximately) up to the present, with English language restrictions, for studies according to the objectives mentioned above. Based on a protocol for data extraction defined and evaluated by all authors using PRISMA methodology, 141 papers were included in this advanced review."
bbx044.pdf,"Deep learning for healthcare: review, opportunities and challenges",Riccardo  Miotto; Fei  Wang; Shuang  Wang; Xiaoqian  Jiang; Joel T Dudley,2017,Briefings in Bioinformatics,10.1093/bib/bbx044,"Gaining knowledge and actionable insights from complex, high-dimensional and heterogeneous biomedical data remains a key challenge in transforming health care. Various types of data have been emerging in modern biomedical research, including electronic health records, imaging, -omics, sensor data and text, which are complex, heterogeneous, poorly annotated and generally unstructured. Traditional data mining and statistical learning approaches typically need to first perform feature engineering to obtain effective and more robust features from those data, and then build prediction or clustering models on top of them. There are lots of challenges on both steps in a scenario of complicated data and lacking of sufficient domain knowledge. The latest advances in deep learning technologies provide new effective paradigms to obtain end-toend learning models from complex data. In this article, we review the recent literature on applying deep learning technologies to advance the health care domain. Based on the analyzed work, we suggest that deep learning approaches could be the vehicle for translating big biomedical data into improved human health. However, we also note limitations and needs for improved methods development and applications, especially in terms of ease-of-understanding for domain experts and citizen scientists. We discuss such challenges and suggest developing holistic and meaningful interpretable architectures to bridge deep learning models and human interpretability."
example_file.pdf,Attention Is All You Need,Ashish  Vaswani; Google  Brain; Noam  Shazeer; Niki  Parmar; Jakob  Uszkoreit; Llion  Jones; Aidan N Gomez; Łukasz  Kaiser,,,,"The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 Englishto-German translation task, improving over the existing best results, including ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.8 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. We show that the Transformer generalizes well to other tasks by applying it successfully to English constituency parsing both with large and limited training data."
